"","age_group","metric","outcome","ref","population_age","mean","lb_95","ub_95"
"84","8mo","risk","hosp","Reeves2019",56605.4166666667,0.0204656835557682,0.0187808029117697,0.023610794091232
"85","9mo","risk","hosp","Reeves2019",56605.4166666667,0.0176732049188144,0.015999866450496,0.0205614329600214
"86","10mo","risk","hosp","Reeves2019",56605.4166666666,0.0136434252729925,0.0124202216278277,0.0163015408865238
"87","11mo","risk","hosp","Reeves2019",56605.4166666667,0.011945538104814,0.0101524958740711,0.0146108711505129
"88","1yr","risk","hosp","Reeves2017",679265,0.00478470959342121,0.00402016425013529,0.00595159809049984
"89","2yr","risk","hosp","Reeves2017",679265,0.00591844696820025,0.00497274253605587,0.00736182980114344
"90","3yr","risk","hosp","Reeves2017",679265,0.00653989023222932,0.00549488582286519,0.00813482980696088
"91","4yr","risk","hosp","Reeves2017",679265,0.0069873569188513,0.00587085212584784,0.00869142406323997
"92","5-9yr","risk","hosp","Taylor2016",3396325,0,0,0
"93","10-14yr","risk","hosp","Taylor2016",3396325,0,0,0
"94","15-24yr","risk","hosp","Fleming2015",6792650,7.80074190778927e-05,5.85055643084195e-05,9.75092738473658e-05
"95","25-34yr","risk","hosp","Fleming2015",6792650,8.65581659499894e-05,6.49186244624921e-05,0.000108197707437487
"96","35-44yr","risk","hosp","Fleming2015",6792650,8.06973364131063e-05,6.05230023098297e-05,0.000100871670516383
"97","45-55yr","risk","hosp","Fleming2015",6792650,0.000747723379943209,0.00054833047862502,0.00089726805593185
"98","55-64yr","risk","hosp","Fleming2015",6792650,0.00108615214654929,0.000796511574136144,0.00130338257585914
"99","65-74yr","risk","hosp","Sharpe2022",6792650,0.00369954975664194,0.00270952939923071,0.00468957011405316
"100","75yr","risk","hosp","Sharpe2022",7799725,0.0133725398770594,0.00990953154236273,0.016835548211756
"101","<1mo","risk","a_e","AjayiObe2008",56605.4166666667,0.153958171926148,NA,NA
"102","1mo","risk","a_e","AjayiObe2008",56605.4166666667,0.134298236584352,NA,NA
"103","2mo","risk","a_e","AjayiObe2008",56605.4166666667,0.0599644321679779,NA,NA
"104","3mo","risk","a_e","AjayiObe2008",56605.4166666667,0.0468999938410228,NA,NA
"105","4mo","risk","a_e","AjayiObe2008",56605.4166666667,0.016991399303563,NA,NA
"106","5mo","risk","a_e","AjayiObe2008",56605.4166666667,0.0140006265078589,NA,NA
"107","6mo","risk","a_e","AjayiObe2008",56605.4166666667,0.00300637980115169,NA,NA
"108","7mo","risk","a_e","AjayiObe2008",56605.4166666666,0,NA,NA
"109","8mo","risk","a_e","AjayiObe2008",56605.4166666667,0,NA,NA
"110","9mo","risk","a_e","AjayiObe2008",56605.4166666667,0,NA,NA
"111","10mo","risk","a_e","AjayiObe2008",56605.4166666666,0,NA,NA
"112","11mo","risk","a_e","AjayiObe2008",56605.4166666667,0,NA,NA
"113","1yr","risk","a_e","AjayiObe2008",679265,0,NA,NA
"114","2yr","risk","a_e","AjayiObe2008",679265,0,NA,NA
"115","3yr","risk","a_e","AjayiObe2008",679265,0,NA,NA
"116","4yr","risk","a_e","AjayiObe2008",679265,0,NA,NA
"117","5-9yr","risk","a_e","AjayiObe2008",3396325,0,NA,NA
"118","10-14yr","risk","a_e","AjayiObe2008",3396325,0,NA,NA
"119","15-24yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"120","25-34yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"121","35-44yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"122","45-55yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"123","55-64yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"124","65-74yr","risk","a_e","AjayiObe2008",6792650,0,NA,NA
"125","75yr","risk","a_e","AjayiObe2008",7799725,0,NA,NA
"126","<1mo","risk","icu","Thwaites2020",56605.4166666667,0.00185037138904626,0.00178771773027495,0.00199760748715886
"127","1mo","risk","icu","Thwaites2020",56605.4166666667,0.0039860247458295,0.00381508597498535,0.00411780994346353
"128","2mo","risk","icu","Thwaites2020",56605.4166666667,0.00304442651553311,0.00293829229969637,0.00322322920347428
"129","3mo","risk","icu","Thwaites2020",56605.4166666667,0.00222120994344445,0.00210455578369403,0.00234360119301866
"130","4mo","risk","icu","Thwaites2020",56605.4166666667,0.00191612437456586,0.00180380312459131,0.00206937624953114
"131","5mo","risk","icu","Thwaites2020",56605.4166666667,0.00157447115919028,0.00148157641289248,0.00169769888387104
"132","6mo","risk","icu","Thwaites2020",56605.4166666667,0.00128782461887812,0.00120253822027692,0.00142333522998892
"133","7mo","risk","icu","Thwaites2020",56605.4166666666,0.00106868243348242,0.00100194936448709,0.00121454185571508
"134","8mo","risk","icu","Thwaites2020",56605.4166666667,0.000880024392898033,0.000807574525206099,0.00101526414592298
"135","9mo","risk","icu","Thwaites2020",56605.4166666667,0.000759947811509018,0.000687994257371329,0.00088414161728092
"136","10mo","risk","icu","Thwaites2020",56605.4166666666,0.000586667286738679,0.000534069529996591,0.000700966258120525
"137","11mo","risk","icu","Thwaites2020",56605.4166666667,0.000513658138507002,0.000436557322585059,0.000628267459472053
"138","1yr","risk","icu","Thwaites2020",679265,0.000205742512517112,0.000172867062755818,0.000255918717891493
"139","2yr","risk","icu","Thwaites2020",679265,0,0,0
"140","3yr","risk","icu","Thwaites2020",679265,0,0,0
"141","4yr","risk","icu","Thwaites2020",679265,0,0,0
"142","5-9yr","risk","icu","Thwaites2020",3396325,0,0,0
"143","10-14yr","risk","icu","Thwaites2020",3396325,0,0,0
"144","15-24yr","risk","icu","Thwaites2020",6792650,0,0,0
"145","25-34yr","risk","icu","Thwaites2020",6792650,0,0,0
"146","35-44yr","risk","icu","Thwaites2020",6792650,0,0,0
"147","45-55yr","risk","icu","Thwaites2020",6792650,0,0,0
"148","55-64yr","risk","icu","Walsh2020",6792650,0.000217230429309857,0.000159302314827229,0.000260676515171829
"149","65-74yr","risk","icu","Walsh2020",6792650,0.000739909951328387,0.000541905879846143,0.000937914022810632
"150","75yr","risk","icu","Walsh2020",7799725,0.00267450797541188,0.00198190630847255,0.00336710964235121
